sa2_maincode_2016,sa2_code_2021,ratio
112031253,112031253,1.0
112031254,112031254,1.0
112031550,112031550,1.0
112031551,112031551,1.0
112031552,112031552,1.0
113011256,113011256,1.0
113011257,113011257,1.0
113011258,113011258,1.0
113011259,113011259,1.0
113021260,113021260,1.0
113021261,113021261,1.0
113021262,113021262,1.0
113031263,113031263,1.0
113031264,113031264,1.0
113031265,113031265,1.0
113031266,113031266,1.0
113031267,113031267,1.0
113031268,113031268,1.0
113031269,113031269,1.0
113031270,113031270,1.0
113031271,113031271,1.0
114011272,114011272,1.0
114011273,114011273,1.0
114011274,114011274,1.0
114011275,114011275,1.0
114011276,114011276,1.0
114011277,114011277,1.0
114011278,114011278,1.0
114011279,114011279,1.0
114011280,114011280,1.0
114011281,114011281,1.0
114011282,114011282,1.0
114011283,114011283,1.0
114021284,114021284,1.0
114021285,114021285,1.0
114021286,114021286,1.0
114021287,114021287,1.0
114021288,114021288,1.0
114021289,114021289,1.0
115011290,115011290,1.0
115011291,115011291,0.9999995
115011291,115011622,5e-07
115011294,115011294,1.0
115011296,115011296,1.0
115011553,115011553,1.0
115011554,115011554,1.0
115011555,115011555,1.0
115011556,115011556,1.0
115011557,115011557,1.0
115011558,115011558,1.0
115011559,115011621,0.7559909
115011559,115011622,0.2440091
115021297,115021297,1.0
115021298,115021298,1.0
115031299,115031299,1.0
115031300,115031300,1.0
115041301,115041301,0.9965636
115041301,115041623,0.0034364
115041302,115041623,0.0602784
115041302,115041624,0.2083259
115041302,115041625,0.7313957
116011303,116011303,1.0
116011304,116011304,1.0
116011306,116011306,1.0
116011307,116011307,1.0
116011308,116011626,0.5807167
116011308,116011627,0.4190312
116011308,125031715,0.0002521
116011560,116011560,1.0
116011561,116011561,1.0
116021309,116021309,1.0
116021310,116021628,0.6327158
116021310,116021633,0.3672842
116021312,116021629,0.0430564
116021312,116021630,0.4582552
116021312,116021631,0.176805
116021312,116021632,0.3218834
116021562,116021562,1.0
116021563,116021563,1.0
116031313,116031313,1.0
116031314,116031314,1.0
116031315,116031315,1.0
116031316,116031316,1.0
116031317,116031317,1.0
116031318,116031318,1.0
116031319,116031319,1.0
117011320,117011320,1.0
117011321,117011321,1.0
117011322,117011634,0.4008494
117011322,117011635,0.5991506
117011323,117011323,1.0
117011324,117011324,1.0
117011325,117011325,1.0
117021326,117021636,0.4439296
117021326,117021637,0.5560704
117021327,117021327,1.0
117021328,117021328,1.0
117031329,117031329,1.0
117031330,117031330,1.0
117031331,117031331,1.0
117031332,117031638,0.3979693
117031332,117031640,0.6020307
117031333,117031333,1.0
117031334,117031641,0.5951357
117031334,117031646,0.4048643
117031335,117031639,0.3738271
117031335,117031642,0.6261729
117031336,117031336,1.0
117031337,117031644,0.2798611
117031337,117031645,0.7201389
117031338,117031643,0.2535504
117031338,117031647,0.4451852
117031338,117031648,0.3012644
118011339,118011339,1.0
118011340,118011340,1.0
118011341,118011341,1.0
118011342,118011342,1.0
118011343,118011649,0.5869197
118011343,118011650,0.4130803
118011344,118011344,1.0
118011345,118011345,1.0
118011346,118011346,1.0
118011347,118011347,1.0
118021348,118021651,0.7836822
118021348,118021654,0.2163178
118021350,118021652,0.4565794
118021350,118021653,0.5434206
118021564,118021564,1.0
118021565,118021565,1.0
118021566,118021566,1.0
118021567,118021567,1.0
118021568,118021568,1.0
118021569,118021569,1.0
118021570,118021570,1.0
119011354,119011354,1.0
119011355,119011355,1.0
119011356,119011356,1.0
119011357,119011655,0.528426
119011357,119011656,0.471574
119011358,119011358,1.0
119011359,119011657,0.4105695
119011359,119011658,0.5894305
119011360,119011360,1.0
119011361,119011361,1.0
119011571,119011571,1.0
119011572,119011572,1.0
119021362,119021362,1.0
119021363,119021659,0.4007006
119021363,119021660,0.293065
119021363,119021661,0.3062343
119021364,119021662,0.7447701
119021364,119021663,0.2552299
119021366,119021366,1.0
119021367,119021367,1.0
119021573,119021573,1.0
119021574,119021574,1.0
119031368,119031664,0.4654897
119031368,119031665,0.5345103
119031369,119031666,0.5944027
119031369,119031667,0.4055973
119031370,119031370,1.0
119031371,119031371,1.0
119031372,119031372,1.0
119031373,119031372,0.0155939
119031373,119031373,0.9844061
119031374,119031374,1.0
119041375,119041668,0.7040622
119041375,119041671,0.2959378
119041376,119041669,0.3739827
119041376,119041670,0.6260173
119041377,119041377,1.0
119041378,119041378,1.0
119041379,119041379,1.0
119041380,119041380,1.0
119041381,119041381,1.0
119041382,119041382,1.0
120011383,120011383,1.0
