sa2_code,sa2_name,earners2015-2016,earners2016-2017,earners2017-2018,earners2018-2019,earners2019-2020,median_age2015-2016,median_age2016-2017,median_age2017-2018,median_age2018-2019,median_age2019-2020,earningsum2015-2016,earningsum2016-2017,earningsum2017-2018,earningsum2018-2019,earningsum2019-2020,earningmedian2015-2016,earningmedian2016-2017,earningmedian2017-2018,earningmedian2018-2019,earningmedian2019-2020,eariningmean2015-2016,eariningmean2016-2017,eariningmean2017-2018,eariningmean2018-2019,eariningmean2019-2020
203031051,Portarlington,3605,3884,4108,4318,4593,54,54,54,54,54,171713132,191365475,212883111,232756097,250557269,36542,37235,38323,39988,40764,47632,49270,51822,53904,54552
203031052,Point Lonsdale - Queenscliff,2627,2789,2919,2993,3133,58,57,57,57,57,150076400,158831467,175793438,187031777,197915211,39384,38832,39994,43520,44696,57128,56949,60224,62490,63171
203031053,Torquay,11442,12298,12755,13537,14290,44,44,44,44,44,733991415,795943159,867770980,968102182,1061107213,47833,49674,52107,54955,56102,64149,64721,68034,71515,74255
204011054,Alexandra,3564,3644,3735,3692,3735,50,51,50,51,51,156971712,166318387,172573860,178745287,185609177,35244,37052,37890,39452,40199,44044,45642,46205,48414,49695
204011055,Euroa,3527,3613,3633,3678,3676,52,52,52,52,52,145285048,157462107,166645763,170678008,173989741,35955,37359,38987,39500,41079,41192,43582,45870,46405,47331
204011056,Kilmore - Broadford,7147,7477,7771,8053,8298,44,45,44,44,44,382979940,411707906,441947891,478157174,501808943,46641,47729,49320,51400,52821,53586,55063,56871,59376,60473
204011057,Mansfield (Vicnp),5015,5246,5383,5509,5549,50,50,49,49,50,222304825,248325318,251773553,271056596,284098143,34420,35815,37862,39675,40256,44328,47336,46772,49203,51198
204011058,Nagambie,2150,2255,2360,2426,2428,49,49,49,48,49,103912708,113929899,126219662,136354808,136399325,41560,43978,45235,47727,47578,48331,50523,53483,56206,56178
204011059,Seymour,3225,3214,3355,3386,3328,47,46,46,46,46,151810937,154748544,167365327,175854431,173506752,40662,41505,43392,45393,46029,47073,48148,49885,51936,52135
204011060,Seymour Region,2103,2286,2355,2454,2428,44,44,44,44,44,107416390,125906578,132335185,142371491,144672978,45311,48357,49991,52222,54521,51078,55077,56193,58016,59585
204011061,Upper Yarra Valley,78,86,96,97,106,48,48,47,45,46,3152581,3484462,4134779,4393722,4698413,38337,39127,43740,41375,39982,40418,40517,43071,45296,44325
204011062,Yea,2003,2041,2097,2109,2133,51,52,52,52,52,89502021,93490508,98704809,104591106,107670296,35636,35905,37163,38638,40162,44684,45806,47070,49593,50478
204021063,Benalla,5398,5419,5524,5693,5774,49,49,49,49,49,251250239,256774472,268931998,286602371,299109435,40327,41180,42700,44066,45272,46545,47384,48684,50343,51803
204021064,Benalla Region,2112,2156,2199,2223,2243,51,51,51,52,52,89898343,94788583,99825550,102527719,109344046,35335,35509,37975,38640,39851,42566,43965,45396,46121,48749
204021065,Rutherglen,2205,2250,2296,2336,2331,47,47,48,48,48,110684622,112792154,118905272,124265372,125872886,44680,45033,45971,47557,49146,50197,50130,51788,53196,54000
204021066,Wangaratta,10165,10216,10429,10527,10680,46,46,46,45,45,501662826,523343213,554992212,571835072,596918879,42880,43972,45587,47525,48372,49352,51228,53216,54321,55891
204021067,Wangaratta Region,5767,5959,6041,6143,6121,50,49,50,49,49,268552348,279576873,292957486,309387002,318408783,39159,39755,40688,42619,44091,46567,46917,48495,50364,52019
204031068,Beechworth,2619,2645,2704,2784,2826,51,51,51,51,50,130108743,131374637,135263230,144381686,152738296,42085,41082,42008,44279,45613,49679,49669,50023,51861,54048
204031069,Bright - Mount Beauty,4614,4797,4954,5025,5061,49,49,48,48,48,200379377,214367358,231472721,242785431,252220263,35024,36262,37190,39625,39120,43429,44688,46724,48316,49836
204031070,Chiltern - Indigo Valley,1854,1882,1894,1925,1952,47,48,48,48,48,92388060,95088235,100348092,102707198,105147867,45739,45541,49193,48813,49171,49832,50525,52982,53354,53867
204031071,Myrtleford,2703,2686,2787,2828,2848,49,49,49,49,49,121198197,122954978,132915891,140029129,146794551,38094,38280,39638,42317,43534,44838,45776,47691,49515,51543
204031072,Towong,3480,3544,3636,3605,3540,51,52,52,52,52,168056661,168841006,171438180,180373785,191725599,39583,39307,39305,40331,42687,48292,47641,47150,50034,54160
204031073,West Wodonga,8204,8348,8570,8661,8651,43,43,43,43,43,438624412,450015928,470382066,500719612,509422433,47973,48592,49702,51249,52290,53465,53907,54887,57813,58886
204031074,Wodonga,13322,14065,14597,15048,15520,42,42,41,42,41,698725314,750098579,795966257,855249656,902702653,47166,48234,48998,51308,52612,52449,53331,54529,56835,58164
204031075,Yackandandah,2830,2876,2941,3001,3045,48,48,47,48,48,149216368,155498057,161567993,171606064,177752731,45196,46183,47466,49453,50304,52727,54067,54936,57183,58375
205011076,Drouin,8398,8842,9215,9763,10089,44,44,44,43,43,403532786,440024910,476400365,519415885,560268620,41742,42973,44882,47042,48380,48051,49765,51698,53202,55533
205011077,Mount Baw Baw Region,3456,3535,3642,3730,3799,49,49,49,49,49,172866027,177032120,184597739,196651673,206682275,39325,39154,41422,42324,43205,50019,50080,50686,52722,54404
205011078,Trafalgar (Vicnp),4369,4555,4581,4703,4711,46,46,46,46,46,232104879,242762394,250571945,268655775,275349134,42730,42508,44410,46518,47243,53125,53296,54698,57124,58448
205011079,Warragul,10795,11208,11694,12240,12685,46,46,46,45,44,573273287,610576684,659836541,719419276,772716666,42680,43418,45069,47709,49466,53105,54477,56425,58776,60916
205021080,Alps - East,np,4,3,3,np,np,62,63,64,np,np,92393,67978,69486,np,np,32270,31114,32682,np,np,23098,22659,23162,np
205021081,Bairnsdale,7643,7781,7942,8186,8251,46,46,46,46,45,365323978,370120469,387020822,414390299,429720508,40650,41005,42091,43540,44665,47799,47567,48731,50622,52081
205021082,Bruthen - Omeo,4335,4459,4577,4665,4784,50,50,49,49,49,188832896,200916807,203894039,207789722,229552378,36835,38218,38409,40078,41805,43560,45059,44548,44542,47983
205021083,Lake King,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
205021084,Lakes Entrance,5009,5110,5288,5343,5439,51,51,52,51,51,219079758,224850387,234409358,249653503,263486867,34799,34575,35390,36991,37983,43737,44002,44329,46725,48444
205021085,Orbost,3062,3133,3199,3260,3278,52,52,52,52,52,129563253,142025071,136243049,142589583,155017699,33108,34188,35600,35437,38041,42313,45332,42589,43739,47290
205021086,Paynesville,3140,3229,3321,3462,3565,54,55,55,55,55,137029462,146761979,152102380,165935931,173701339,34299,35927,36444,37439,37891,43640,45451,45800,47931,48724
205031087,Foster,4721,4858,4916,4997,5096,51,51,52,52,52,214316609,217867635,216527549,235309719,257813770,33109,33966,34854,37285,39276,45396,44847,44045,47090,50591
205031088,French Island,62,60,53,43,47,59,56,57,58,57,2044708,1641821,1697159,912902,1132863,17860,17477,18177,14698,21302,32979,27364,32022,21230,24103
205031089,Korumburra,4994,5139,5290,5427,5499,48,47,47,47,47,228525229,241666601,262056699,270138346,287626757,37033,38595,41642,42483,44768,45760,47026,49538,49777,52305
205031090,Leongatha,6177,6332,6431,6495,6500,48,48,48,48,48,300689367,310730924,325475119,346432958,352410205,38897,39305,40948,42792,44669,48679,49073,50610,53338,54217
205031091,Phillip Island,5648,6018,6338,6534,6891,49,49,49,49,49,249501165,270937308,293706183,314519370,340088789,35514,35931,36813,38038,38265,44175,45021,46341,48136,49353
205031092,Wilsons Promontory,np,8,10,9,6,np,41,44,47,46,np,477475,705669,689022,463039,np,48294,61865,70131,73640,np,59684,70567,76558,77173
205031093,Wonthaggi - Inverloch,11261,11702,12212,12695,13355,49,49,49,49,49,503818411,532694983,578756900,626371450,683128618,36159,36496,38060,39884,41773,44740,45522,47392,49340,51152
205041094,Churchill,6019,6177,6268,6326,6365,46,46,46,46,45,355319597,369400083,370921087,383778070,383328187,45902,45510,46847,49120,49079,59033,59803,59177,60667,60224
205041095,Moe - Newborough,7701,7726,7888,8017,8114,45,45,44,44,44,417064103,416750785,426266013,450135024,455803310,42618,42590,43433,46041,47154,54157,53941,54040,56148,56175
205041096,Morwell,5849,5885,5929,6029,6105,45,45,45,44,44,294257499,296939075,295955149,306757353,313621010,41761,41166,42558,43010,43803,50309,50457,49917,50880,51371
205041097,Traralgon,14696,14980,15266,15725,15910,42,42,42,42,42,932888580,932315804,978689269,1041406472,1067742111,50780,50447,52169,54079,55464,63479,62237,64109,66226,67111
205041098,Yallourn North - Glengarry,2484,2598,2621,2708,2709,44,45,45,44,44,154780897,162777105,164212811,175516757,175337537,48790,48148,50472,51768,52142,62311,62655,62653,64814,64724
205051099,Alps - West,27,30,23,19,19,54,54,53,54,59,588268,925685,639491,638452,485169,18714,26350,18835,25376,10949,21788,30856,27804,33603,25535
205051100,Longford - Loch Sport,2095,2177,2220,2291,2376,50,50,50,50,50,112819805,120777328,118548618,126611668,137868963,40033,40383,40507,42485,44934,53852,55479,53400,55265,58026
205051101,Maffra,7625,7684,7703,7910,8024,46,46,46,46,45,390552616,392316220,402076860,426904680,442866466,41606,41980,43501,44993,46559,51220,51056,52197,53970,55193
205051102,Rosedale,2195,2285,2238,2281,2262,45,45,45,46,45,111541905,111271708,112371107,113012698,121054203,41486,40634,42172,41947,47078,50816,48697,50211,49545,53516
205051103,Sale,7907,7890,8041,8160,8168,44,44,44,44,44,470813192,459524265,478421215,508292826,511346407,44680,45220,46718,49010,49874,59544,58241,59498,62291,62604
205051104,Yarram,2721,2750,2787,2856,2916,51,51,52,51,52,124695566,121062686,127756326,138585338,182187462,36367,35388,38003,37232,38845,45827,44023,45840,48524,62479
206011105,Brunswick,16555,17741,18263,19004,18845,34,34,34,34,34,1030049768,1121215368,1221310186,1309245464,1361441313,51833,51576,54409,57394,60295,62220,63199,66873,68893,72244
206011106,Brunswick East,7218,7948,8331,8757,9078,34,34,34,34,34,450609576,513672874,562622035,617340883,669650074,52391,54618,56690,59822,63008,62429,64629,67534,70497,73766
206011107,Brunswick West,8402,8887,9195,9397,9556,36,35,35,35,36,521245835,552469191,598696434,659757301,670642835,51370,50643,52890,56381,57450,62038,62166,65111,70209,70180
206011108,Coburg,15361,15929,16470,16841,16870,38,37,37,38,38,914337185,975582106,1045654116,1117974297,1164283501,49617,50613,52108,54887,56209,59523,61246,63488,66384,69015
206011109,Pascoe Vale South,5654,6140,6270,6446,6428,43,42,42,42,42,367442089,407534464,431394518,469076538,490052777,52884,55080,56576,59867,61738,64988,66374,68803,72770,76237
206021110,Alphington - Fairfield,5433,5678,5819,5937,6029,41,41,41,40,40,409351763,434455652,461774657,499585182,529048209,55848,57528,59610,61806,65222,75345,76516,79356,84148,87751
206021111,Northcote,15514,16022,16448,16821,16729,38,39,39,39,39,1118364223,1202479199,1294309166,1393836804,1444603782,57060,58653,60986,64111,66562,72087,75052,78691,82863,86353
206021112,Thornbury,11154,11439,11884,12125,12049,38,38,38,38,38,703116664,744538818,808297645,870010964,895237081,52052,53351,56044,59278,61162,63037,65088,68016,71753,74300
206031113,Ascot Vale,8720,9239,9589,9771,9709,39,38,39,39,39,651298162,705657673,747244149,788325929,815137623,56420,57996,59981,61854,63855,74690,76378,77927,80680,83957
206031114,Essendon - Aberfeldie,17507,18304,18810,19182,19278,42,42,42,41,42,1316663677,1415790119,1519068770,1578870255,1639739073,56381,56597,59116,61204,62800,75208,77349,80759,82310,85058
206031115,Flemington,5341,5605,5944,6212,6068,34,34,34,34,34,324870258,343887024,381628199,417174462,424684457,48716,49028,51553,53463,55880,60826,61354,64204,67156,69988
206031116,Moonee Ponds,8987,9269,9601,10067,10685,41,41,41,40,39,696563129,723748906,769952926,823653935,916186607,59112,59800,60879,62722,64710,77508,78083,80195,81817,85745
206041117,Carlton,7796,8400,9030,9422,9402,30,31,30,30,31,444552892,472390078,516296697,563346766,573406852,39048,36819,37254,38891,40326,57023,56237,57176,59791,60988
206041118,Docklands,7337,8957,10207,11263,11250,32,32,32,32,33,544058834,617832233,706932521,805035975,851456351,54667,51342,54047,55150,58307,74153,68978,69260,71476,75685
206041119,East Melbourne,3631,3792,3823,3899,3898,40,40,41,41,41,446466015,470425745,489607844,515175935,532596207,71551,70034,71759,75755,77804,122960,124057,128069,132130,136633
206041120,Flemington Racecourse,45,47,59,65,73,35,32,32,32,32,3343208,3549726,3607084,4136428,4804739,48518,60511,51725,55538,57275,74294,75526,61137,63637,65818
206041121,Kensington (Vicnp),6917,7079,7257,7371,7404,35,35,36,36,36,495995860,523035242,563416372,597499390,614375227,61221,63505,65563,67962,70336,71707,73885,77638,81061,82979
206041122,Melbourne,20622,24075,26083,27182,27135,29,29,30,30,30,1098985430,1234101152,1343994469,1426389488,1460657470,31242,28068,28806,30024,29908,53292,51261,51528,52476,53829
206041123,North Melbourne,11482,12853,13534,14582,14933,32,32,32,32,32,720076044,798383593,881632537,972947841,1029657418,46480,45254,48424,50074,51142,62713,62117,65142,66723,68952
206041124,Parkville,3394,3626,3920,4045,4183,32,32,32,32,32,236761558,243777788,261718554,292940311,295709435,46050,45596,46314,49544,47865,69759,67230,66765,72420,70693
206041125,South Yarra - West,4289,4720,5182,5106,4970,40,39,39,39,39,536461878,591714241,704447911,686411116,649386042,65975,65330,68512,70451,69578,125079,125363,135941,134432,130661
206041126,Southbank,12110,13321,14398,15422,16576,32,32,32,32,32,911701163,971296864,1060185549,1157743652,1231475293,54683,50643,51696,53390,52625,75285,72915,73634,75071,74293
206041127,West Melbourne,np,6,8,7,6,np,40,38,41,35,np,646798,1897262,788762,645193,np,58023,93272,82813,90927,np,107800,237158,112680,107532
206051128,Albert Park,10447,11003,11491,11685,11677,44,44,44,44,44,1201916917,1276135492,1348494692,1407013358,1392201695,67627,66160,66627,67518,68933,115049,115981,117352,120412,119226
206051129,Elwood,10599,10919,10926,11046,10915,38,38,38,39,39,909852612,940596061,971055003,1018116461,1044703016,63827,64056,65893,68634,70277,85843,86143,88876,92171,95713
206051130,Port Melbourne,10498,11043,11181,11132,10846,42,42,43,43,44,1025306401,1121472328,1197841991,1199212209,1179638958,71708,73296,74967,76501,78187,97667,101555,107132,107727,108763
206051131,Port Melbourne Industrial,133,236,385,610,921,43,36,30,30,31,29837252,27412943,33593665,42912061,78168963,73408,54090,49240,49381,53748,224340,116157,87256,70348,84874
206051132,South Melbourne,7682,8243,8697,8953,8774,38,38,38,38,39,717827813,755477010,823766172,843708161,864470709,63303,61627,63351,65395,68507,93443,91651,94718,94237,98526
206051133,St Kilda,18254,19624,20032,20537,20279,33,33,34,34,35,1326558357,1388869641,1517321170,1596845433,1603797980,53562,53066,56940,59622,60080,72672,70774,75745,77755,79087
206051134,St Kilda East,10911,11686,12058,12218,11884,34,34,34,34,35,720665411,781382523,860116179,898478780,912410574,53795,54133,56841,60012,61274,66049,66865,71332,73537,76776
206061135,Armadale,6068,6486,6846,6974,6871,41,41,40,40,40,688285026,732168789,735861150,778500109,788818152,64169,64075,66098,69563,72012,113429,112884,107488,111629,114804
206061136,Prahran - Windsor,15042,14996,15009,15150,14750,32,33,33,34,34,1111594748,1175121809,1259734638,1341199229,1339793011,54594,58667,63435,66724,69288,73899,78362,83932,88528,90833
206061137,South Yarra - East,13949,15467,16102,16272,16019,33,33,33,33,34,1303249068,1344217807,1489643087,1541734638,1534220764,60297,60908,63969,66969,69239,93430,86909,92513,94748,95775
206061138,Toorak,9917,10096,10250,10071,9922,50,49,49,49,49,1667087701,1773826082,1820859205,1902471849,1777424776,70630,71282,72451,75759,74766,168104,175696,177645,188906,179140
206071139,Abbotsford,5625,6365,6439,6589,6658,33,32,33,33,34,391434659,458292458,485396761,515133619,543238689,57501,58359,61476,64090,67457,69588,72002,75384,78181,81592
206071140,Carlton North - Princes Hill,5669,5983,6106,6129,5957,36,36,36,37,37,449959698,483073817,505250888,544297185,542870727,54412,54876,57240,60116,60975,79372,80741,82747,88807,91132
206071141,Collingwood,5106,5698,6027,6380,6410,33,33,33,33,33,343683439,397299391,440190063,495760238,511032778,53828,56825,60589,63876,67156,67310,69726,73036,77705,79724
206071142,Fitzroy,6511,7052,7083,7189,7107,35,34,35,35,35,497600311,569485085,589228908,618516101,642282138,53983,54622,58258,60939,64283,76425,80755,83189,86036,90373
206071143,Fitzroy North,7895,8483,8553,8812,8629,37,37,37,37,37,636606644,710775756,749360519,821275019,831140089,57733,59458,62727,65192,67265,80634,83788,87614,93200,96319
206071144,Richmond (Vicnp),20360,21746,22343,22825,22508,34,34,34,34,35,1655608288,1807796568,1903458923,2001725264,2055924188,63515,63992,66967,70247,73100,81317,83132,85193,87699,91342
206071145,Yarra - North,5730,6047,6158,6261,6377,40,40,40,40,40,488293253,530537242,582300858,623334756,636853268,63048,64478,68435,70982,71765,85217,87736,94560,99558,99867
207011146,Ashburton (Vicnp),4651,4646,4841,4892,4883,45,46,46,46,46,408486037,427599723,451931977,470750756,468106987,58828,60353,61321,62937,64056,87828,92036,93355,96229,95865
207011147,Balwyn,10452,10696,10868,11052,10952,48,48,48,48,48,905623764,909433968,942647898,978070216,987193359,51241,49615,50044,51902,51703,86646,85026,86736,88497,90138
207011148,Balwyn North,12925,13032,13438,13512,13487,48,48,48,48,48,983290420,1033097204,1066494805,1116651925,1116909375,49933,50649,50469,52750,53053,76077,79274,79364,82641,82814
207011149,Camberwell,14108,14144,14527,14501,14456,47,47,47,47,47,1364915336,1361960842,1412564383,1471718734,1490840805,57906,57447,59133,61520,61715,96748,96292,97237,101491,103130
207011150,Glen Iris - East,10749,11196,11413,11555,11503,46,46,46,46,47,1026806241,1094384139,1128482603,1180383194,1207152931,62276,63193,63403,65964,67321,95526,97748,98877,102153,104942
207011151,Hawthorn,15439,16493,17176,17287,17222,36,37,38,38,38,1576995805,1614755093,1708405084,1804137805,1814301309,60000,56500,57352,59945,60787,102144,97905,99465,104364,105348
207011152,Hawthorn East,10079,10389,10774,11148,11317,39,39,39,39,40,957060212,983635617,1015585120,1075346253,1090237385,58996,60906,61766,62766,61319,94956,94680,94263,96461,96336
207011153,Kew,16559,16786,17113,17095,16976,45,45,45,45,45,1755834830,1824333977,1863730799,1923913619,1877792784,58373,59400,61588,64299,64352,106035,108682,108907,112542,110615
207011154,Kew East,4111,4185,4200,4272,4284,46,47,47,46,45,349063968,365194287,374326079,396461672,403977283,55346,56881,58226,60124,60329,84910,87263,89125,92805,94299
207011155,Surrey Hills (West) - Canterbury,10825,10940,11079,11103,11102,48,48,48,48,48,1202283969,1208700188,1277897863,1244517879,1257280959,60234,61533,63041,65212,64023,111065,110484,115344,112088,113248
207021156,Bulleen,6623,6722,6829,6946,6922,46,47,47,47,47,414528485,417897834,436940744,457666405,474309591,46574,45948,47352,49223,51507,62589,62169,63983,65889,68522
207021157,Doncaster,12401,12974,13582,14237,14852,46,45,45,44,43,717954450,746446134,806236960,845497762,888936834,39751,40490,41278,42170,42538,57895,57534,59361,59387,59853
207021159,Templestowe,10685,10665,10792,10914,10808,49,49,49,49,48,787332107,789258754,819416553,873330191,840243691,47574,47589,47638,49823,50147,73686,74005,75928,80019,77743
207021160,Templestowe Lower,7916,8015,8163,8144,8257,47,47,47,47,47,483154510,498480211,511227682,531411670,544606662,44684,45352,45926,48542,49423,61035,62193,62627,65252,65957
207021424,Doncaster East (North),9119,9355,9650,9886,9913,47,47,47,47,47,532907636,550614075,577944249,598177901,618618590,42121,42351,43211,45091,45363,58439,58858,59891,60508,62405
207021425,Doncaster East (South),7853,8008,8309,8612,8831,44,43,43,43,43,426398262,437861403,457775867,488856872,513770149,41824,40785,40689,42223,43713,54297,54678,55094,56765,58178
207031161,Blackburn,12890,13297,13726,14088,14173,45,44,44,44,44,842769547,879027406,939869937,1002721718,1029263316,48742,48951,50380,52500,53343,65382,66107,68474,71176,72621
207031162,Blackburn South,5836,6011,6167,6283,6316,45,45,45,45,45,353660262,363560686,380528502,406026759,407507913,46584,46228,47174,49900,49401,60600,60483,61704,64623,64520
207031163,Box Hill,10405,11812,12330,12915,13337,40,38,38,38,38,587900266,636211325,665514330,716762820,753559852,41256,37979,37811,39731,39083,56502,53861,53975,55498,56501
207031164,Box Hill North,9990,10383,10768,11124,11123,44,44,43,43,43,620804391,653032654,694026343,739440373,757023887,46150,46114,46864,49538,49276,62143,62894,64453,66473,68059
207031165,Burwood,5971,6364,6815,7160,7348,41,39,37,37,37,320313152,339222302,364396289,389826080,414756718,37193,35735,35000,36278,37905,53645,53303,53470,54445,56445
207031166,Burwood East,5852,6049,6293,6275,6344,44,44,43,43,42,303897513,314341183,336455730,340557935,355568571,40087,39868,40641,41159,42228,51931,51966,53465,54272,56048
207031167,Surrey Hills (East) - Mont Albert,6444,6709,6842,6925,6906,46,46,46,46,46,543123546,579429162,600035452,627006353,612264441,56498,57439,57777,60668,60982,84284,86366,87699,90542,88657
208011168,Beaumaris,8965,9083,9252,9258,9204,50,50,50,50,50,799614742,823588285,851754865,880248220,918832529,54838,57104,57097,59983,59622,89193,90674,92062,95080,99830
208011169,Brighton (Vicnp),15761,16039,16312,16253,16061,50,50,50,50,50,2025717347,2063860976,2226296373,2240700604,2244014914,66607,66389,67255,69529,69865,128527,128678,136482,137864,139718
208011170,Brighton East,9874,10044,10278,10293,10296,48,48,48,48,48,914268059,961509068,1031808263,1050939851,1042848086,57992,59126,59841,62676,63091,92593,95730,100390,102102,101287
208011171,Cheltenham - Highett (West),6647,7021,7219,7438,7538,43,43,43,43,44,468465458,506625647,546962128,586614784,620412021,54273,55336,57299,61107,63609,70478,72159,75767,78867,82305
208011172,Hampton,10845,11134,11338,11547,11648,46,47,47,47,47,1022227949,1066320126,1143781398,1190343925,1212324299,56654,57701,59892,62000,64024,94258,95772,100880,103087,104080
208011173,Sandringham - Black Rock,10711,10925,11206,11359,11425,49,49,49,50,50,999353879,1057551343,1131425195,1172903803,1168854795,59840,60421,61573,63236,64524,93302,96801,100966,103258,102307
208021174,Bentleigh - McKinnon,13323,13879,14517,15047,15433,45,45,45,44,44,944580758,1011558092,1075314009,1163915094,1217173354,51938,53843,54863,57362,59107,70899,72884,74073,77352,78868
208021176,Carnegie,10625,10976,11438,11945,12165,38,38,38,37,37,682596431,714430896,764891965,821610549,904607335,51880,51864,52685,54084,56595,64244,65090,66873,68783,74361
208021177,Caulfield - North,13659,14098,14633,14662,14651,41,41,40,39,40,1241606257,1314700634,1354984128,1415250989,1435383888,57098,57450,58709,60528,61580,90900,93254,92598,96525,97972
208021178,Caulfield - South,11378,11673,11818,11675,11788,45,45,45,45,45,908211645,941097376,978346776,999498852,1014916301,54611,55608,57298,59427,59165,79822,80622,82784,85610,86097
208021179,Elsternwick,7553,7717,7932,8120,8043,42,42,41,41,41,645235509,691326961,716623663,744225392,743466028,57884,59067,60327,63323,64851,85428,89585,90346,91653,92436
208021180,Hughesdale,4243,4410,4528,4600,4681,40,39,39,40,40,268841521,286183161,302507830,313286133,332979341,52498,52729,52692,54341,57091,63361,64894,66808,68106,71134
208021181,Murrumbeena,5828,5966,6136,6259,6205,41,40,40,40,41,385877379,404959453,429264655,449869903,462112476,52031,52454,54121,55451,58008,66211,67878,69958,71876,74474
208021182,Ormond - Glen Huntly,8270,8419,8869,9185,9137,38,38,38,38,38,539965337,561562981,604421164,673769973,667431956,51848,52289,52837,55022,57286,65292,66702,68150,73355,73047
208021426,Bentleigh East (North),8585,8799,9067,9401,9631,44,44,44,44,44,559865462,583647220,622162473,666190272,704270342,50451,52037,53612,55684,57987,65214,66331,68618,70864,73125
208021427,Bentleigh East (South),7676,7796,8086,8190,8258,44,44,44,44,44,480909398,501742273,547607602,581029573,604861068,50016,51321,53287,55132,58178,62651,64359,67723,70944,73245
208031183,Aspendale Gardens - Waterways,5311,5435,5541,5618,5537,45,45,45,46,46,326468335,345398059,359484875,378036159,380071250,50225,51133,51722,53498,55232,61470,63551,64877,67290,68642
208031184,Braeside,146,160,156,138,128,51,52,52,52,52,11003261,11835721,13733148,11024833,10657506,53537,50716,57749,64828,69291,75365,73973,88033,79890,83262
208031185,Carrum - Patterson Lakes,7089,7247,7302,7424,7433,45,45,46,46,46,456324135,477213384,503438219,520598275,547178987,50431,52287,54598,55429,56861,64371,65850,68945,70124,73615
208031186,Chelsea - Bonbeach,8143,8431,8610,8707,8794,42,42,42,42,43,485442463,520285938,562655383,581452725,602978332,52301,53769,55691,57912,58489,59615,61711,65349,66780,68567
208031187,Chelsea Heights,3004,3094,3158,3165,3164,43,43,43,43,43,165531473,172252940,183493184,190720687,197452850,49780,50537,52094,54284,54960,55104,55673,58104,60259,62406
208031188,Cheltenham - Highett (East),12965,13505,13946,14549,14780,43,43,43,42,42,774175174,848554385,903333762,972375731,1016019311,49316,51032,53465,55868,56743,59713,62833,64774,66835,68743
208031189,Edithvale - Aspendale,7655,7770,7988,8202,8283,44,44,44,44,44,500112411,526781822,568601482,609803309,623994514,53438,54869,57916,59805,61332,65331,67797,71182,74348,75334
208031190,Mentone,8035,8337,8524,8596,8696,44,44,44,44,44,527080188,558116391,580304638,620723232,639381847,52057,52385,54225,57231,59486,65598,66945,68079,72211,73526
208031191,Moorabbin - Heatherton,5159,5288,5521,5592,5649,43,43,43,43,43,315914714,330337951,354869409,379224910,394319505,49514,50347,51528,54256,56002,61236,62469,64276,67816,69803
208031192,Moorabbin Airport,np,7,8,8,6,np,53,54,53,48,np,468034,484008,991399,538656,np,65632,50000,72075,56708,np,66862,60501,123925,89776
208031193,Mordialloc - Parkdale,12059,12368,12671,13021,13148,44,44,45,45,45,820363518,863286630,931093801,978312968,1025057302,53765,56029,58033,60719,62092,68029,69800,73482,75133,77963
208041194,Malvern - Glen Iris,13330,13978,14381,14437,14476,44,43,43,43,44,1469063578,1521823265,1641125724,1723656958,1743834509,63991,64668,66233,69729,70298,110207,108873,114118,119392,120464
208041195,Malvern East,12785,13497,13831,14094,14215,44,44,43,43,43,1179290255,1275748981,1364086512,1432975022,1435546961,57116,58012,59019,59487,61126,92240,94521,98625,101673,100988
209011196,Bundoora - East,5435,5474,5660,5821,5796,42,43,42,42,42,285735382,292065118,317381454,335066046,341272670,44344,44655,45700,47739,49030,52573,53355,56074,57562,58881
209011197,Greensborough,12637,12751,12960,13043,12962,44,44,44,44,44,781743363,807242418,846828331,888741993,910372423,52197,53472,54987,56606,58971,61861,63308,65342,68139,70234
209011198,Heidelberg - Rosanna,8921,9126,9515,9755,9732,43,43,43,43,43,586400198,584375789,676675316,732130901,751132961,52144,53646,56659,60604,61975,65733,64034,71117,75052,77182
209011199,Heidelberg West,7077,7362,7847,8179,8316,37,37,37,37,37,372906591,400590743,441523083,474931189,499349978,45343,46681,47865,49231,51092,52693,54413,56266,58067,60047
209011200,Ivanhoe,7458,7720,8123,8255,8183,44,44,44,43,43,606660505,644240172,720547637,751862734,728425872,57581,59140,61543,63441,64964,81344,83451,88705,91080,89017
209011201,Ivanhoe East - Eaglemont,5395,5450,5529,5519,5398,49,49,49,49,49,545453741,572402023,606390147,615687218,609408150,59785,60959,63761,67321,67903,101104,105028,109674,111558,112895
209011202,Montmorency - Briar Hill,9895,10034,10176,10215,10092,44,45,45,45,45,639047259,688449195,720662690,763073424,750214919,53139,54620,56972,58432,60259,64583,68612,70820,74701,74338
209011203,Viewbank - Yallambie,10730,10819,11003,11035,11010,44,44,44,44,44,659552675,682611787,712086886,740911772,764589148,51038,52582,53932,56529,58806,61468,63094,64718,67142,69445
209011204,Watsonia,5264,5290,5384,5516,5453,42,42,42,42,42,307709913,317638064,331830644,355045244,363018931,51999,53514,53672,56433,58876,58456,60045,61633,64366,66572
209021205,Kingsbury,5340,5665,6110,6278,6219,40,40,38,38,38,307662374,321796386,347119725,362096331,374697480,42174,41291,41039,42110,44240,57615,56804,56812,57677,60250
