postcode,sa2_maincode_2016
2059,121041417
2060,121041416
2060,121041414
2060,121041417
2061,121041416
2061,121041417
2062,121041413
2063,121011402
2064,121011398
2065,121041414
2065,121011400
2065,121011401
2066,121011400
2066,121011399
2067,121011398
2067,121011399
2068,121011402
2069,121011402
2069,121031408
2070,121031408
2071,121031407
2072,121031407
2073,121031409
2074,121031411
2074,121031412
2075,121031410
2076,121021406
2076,121031412
2077,121021403
2077,121021577
2077,121021579
2079,121021403
2080,121021403
2081,121021404
2082,115021298
2082,121021404
2083,102011030
2083,121021404
2084,122021421
2084,122031432
2085,122031428
2086,122031428
2087,122031427
2088,121041415
2089,121041416
2090,121041413
2091,121041415
2092,122011418
2093,122011418
2093,122031430
2094,122011419
2095,122011419
2096,122031429
2097,122031431
2099,122031425
2099,122031426
2099,122031424
2099,122031429
2100,122031430
2100,122031424
2100,122031429
2100,122031428
2101,122021421
2101,122031431
2101,122021423
2102,122021423
2103,122021423
2104,122021421
2105,122021421
2106,122021422
2107,122021420
2107,122021422
2108,122021421
2108,122021420
2109,126021500
2110,126021499
2111,126021499
2111,126021498
2112,126021497
2112,126021590
2112,126021591
2113,126021501
2113,126021500
2114,126021497
2114,126021503
2114,125021477
2115,125021477
2116,125021477
2117,125021477
2117,125021478
2118,125021476
2119,126011496
2120,126011496
2120,121021406
2121,126011495
2122,126021497
2122,126021500
2123,125041492
2124,125041492
2125,115011296
2126,115011558
2127,125011473
2128,125011473
2129,120031396
2130,120031395
2131,120031390
2132,120031391
2133,120031393
2134,120031391
2135,120031575
2136,120031393
2136,120031576
2137,120011383
2137,120011384
2138,120011384
2139,120011384
2140,120031396
2141,125011585
2141,125011586
2141,125011475
2142,125031483
2142,125041492
2142,125031481
2142,125031485
2143,119011361
2143,119011355
2143,125011587
2144,125011582
2145,125041493
2145,125041588
2145,125031482
2145,125041589
2146,125041493
2147,116011307
2147,116011308
2148,116031318
2148,116011303
2148,116011304
2148,116011308
2150,125041492
2151,125041489
2151,125041490
2152,125041491
2153,115011290
2153,115011291
2153,125041494
2154,115011555
2155,115041302
2155,115011559
2155,116021310
2156,115021297
2156,115011294
2157,115021297
2158,115021297
2159,115021298
2160,125031485
2160,125031484
2161,125031483
2161,125031484
2161,125031480
2161,125031487
2162,125031479
2163,125031480
2163,119011354
2163,125031479
2164,127021519
2164,127021521
2164,125031484
2165,127021515
2165,125031480
2165,127021516
2166,127021511
2166,127021512
2166,127021513
2167,123021442
2168,127011504
2168,127031599
2168,127011594
2168,127011595
2170,127031522
2170,127031523
2170,127031524
2170,127031598
2170,127031599
2170,127021512
2170,127031600
2170,127031601
2171,127011596
2171,127011593
2171,127011595
2171,127011597
2172,127031524
2173,127031524
2174,127031600
2174,123021440
2175,127021518
2176,127021510
2176,127021514
2176,127021517
2176,127021520
2177,127021509
2177,125011473
2178,127021518
2179,127011505
2179,127011506
2190,119011355
2190,119011357
2191,119021362
2192,119021362
2193,120031392
2194,119021363
2195,119021573
2195,119021574
2196,119021366
2196,119021367
2197,119011354
2198,119011354
2199,119011361
2200,119011572
2200,119011356
2200,119011571
2200,119011357
2203,120031394
2204,117021326
2205,119041375
2206,119021363
2206,119021364
2207,119041377
2207,119041375
2207,119041376
2208,119021364
2208,119041377
2209,119031370
2210,119031372
2210,119031373
2211,119011358
2212,119011360
2213,119011359
2214,119011359
2216,119041381
2216,119041380
2217,119041379
2217,119041378
2217,119041380
2217,119041382
2218,119041379
2219,119041382
2220,119031368
2220,119031371
2221,119031374
2222,119031369
2223,119031369
2224,128011531
2225,128021536
2226,128021536
2227,128011529
2228,128011530
2229,128011602
2229,128011603
2229,128011605
2229,128011531
2230,128011604
2230,128011606
2230,128021537
2231,128011604
2232,128021537
2232,128011529
2232,128021536
2232,128021538
2232,128021608
2232,128021535
2233,128021607
2233,128021533
2233,128021609
2233,128021608
2234,128021534
2234,128021535
2250,115031299
2250,102011030
2250,102011032
2250,102011031
2250,102011033
2250,102011036
2250,102011035
2250,102011037
2250,102011043
2251,102011028
2251,102011029
2251,102011038
2251,102011031
2251,102011034
2252,102011030
2256,102011042
